MaChiNhanh,TenChiNhanh,MaTenChiNhanh,MaTP,Dia_Chi_Duong
1,Qu?n Hoàn Ki?m,HK,1,"123 Lê Thánh Tôn, Phu?ng Hai Bà Trung, Qu?n Hoàn Ki?m, Hà N?i"
2,Qu?n Tây H?,TH,1,"456 Tr?n Hung Ð?o, Phu?ng Qu?ng An, Qu?n Tây H?, Hà N?i"
3,Qu?n Ð?ng Ða,DD,1,"789 Hai Bà Trung, Phu?ng Ð?ng Mác, Qu?n Ð?ng Ða, Hà N?i"
4,Qu?n Hai Bà Trung,HBT,1,"101 Lý Thái T?, Phu?ng Phan Chu Trinh, Qu?n Hai Bà Trung, Hà N?i"
5,Qu?n Ba Ðình,BD,1,"321 Ðinh Tiên Hoàng, Phu?ng Trúc B?ch, Qu?n Ba Ðình, Hà N?i"
6,Qu?n C?u Gi?y,CG,1,"654 Tr?n Qu?c Toan, Phu?ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i"
7,Qu?n Hà Ðông,HD,1,"987 Nguy?n Chí Thanh, Phu?ng Yên Hoà, Qu?n Hà Ðông, Hà N?i"
8,Qu?n Thanh Xuân,TX,1,"231 Phan Ðình Phùng, Phu?ng Thanh Xuân Trung, Qu?n Thanh Xuân, Hà N?i"
9,Qu?n Nam T? Liêm,NTL,1,"467 Hà N?i, Phu?ng M? Ðình 2, Qu?n Nam T? Liêm, Hà N?i"
10,Qu?n B?c T? Liêm,BTL,1,"890 Tr?n Hung Ð?o, Phu?ng B?c M? An, Qu?n B?c T? Liêm, Hà N?i"
